seed,dimension,tau,splits,mmd,base_mc,base_nll,mc,nll
0,3,0.1,1,0.37594053046866394,22.56725819716567,5.4342354061303,22.351740048942695,5.933729213299663
0,3,0.1,3,0.37594053046866394,22.56725819716567,5.4342354061303,21.58716276360197,5.1604637036267755
0,3,1,1,0.3099016648194188,24.84349351215358,4.827127984154545,24.969870675166526,4.904191058961201
0,3,1,3,0.3099016648194188,24.84349351215358,4.827127984154545,24.026736230077766,4.778025133254174
0,3,5,1,0,33.43219372852578,4.594580102862834,32.61976247950076,4.5622383361875
0,3,5,3,0,33.43219372852578,4.594580102862834,32.06300359791847,4.69755763306261
0,5,0.1,1,0.3356266722423264,46.57649778137541,5.262713888071842,42.753744053395636,5.342154286157568
0,5,0.1,3,0.3356266722423264,46.57649778137541,5.262713888071842,39.85557745834262,5.2408570094742055
0,5,1,1,0.32410032677200556,51.46109778456727,5.090558632255723,49.29752999010675,5.063146926887623
0,5,1,3,0.32410032677200556,51.46109778456727,5.090558632255723,44.87207067690572,4.993680390877496
0,5,5,1,0.09799518566499013,63.81652115655551,5.374634001775801,61.52777648725276,5.261263952648155
0,5,5,3,0.09799518566499013,63.81652115655551,5.374634001775801,59.16760599093687,5.17980515832192
0,8,0.1,1,0.29667924380184485,67.9929262732601,5.422415144849209,65.36777629136,5.347861018746791
0,8,0.1,3,0.29667924380184485,67.9929262732601,5.422415144849209,62.594630388545035,5.300749090261488
0,8,1,1,0.2903108387417616,74.06894937553231,5.379504636693476,70.96071781385301,5.351605315355366
0,8,1,3,0.2903108387417616,74.06894937553231,5.379504636693476,66.44108938147629,5.3273506797353125
0,8,5,1,0.10820717497650165,84.19711654031997,5.656405303159628,81.3454307472054,5.537766948018686
0,8,5,3,0.10820717497650165,84.19711654031997,5.656405303159628,77.99734763612784,5.471519034553959
1,3,0.1,1,0.3948683235249644,20.29939946172164,5.889223275307315,18.050618206701078,6.334410871188195
1,3,0.1,3,0.3948683235249644,20.29939946172164,5.889223275307315,16.390637453248814,5.307356618159889
1,3,1,1,0.3378295081983781,22.322953319908486,5.164871352969946,24.53649724016582,5.499455170902333
1,3,1,3,0.3378295081983781,22.322953319908486,5.164871352969946,20.00201718986381,5.15635960433653
1,3,5,1,0.02467394136149753,32.0986811851822,4.576429277814715,31.05850488228787,4.5036043198897024
1,3,5,3,0.02467394136149753,32.0986811851822,4.576429277814715,30.07315699181784,4.457610934522206
1,5,0.1,1,0.3409771490330269,42.96325399471393,5.447662038710133,40.29307117351835,5.280659352074033
1,5,0.1,3,0.3409771490330269,42.96325399471393,5.447662038710133,40.98442916518718,5.250053066237508
1,5,1,1,0.34162875488864775,47.27291320470861,5.073010892458861,45.56979490988584,5.027032486088752
1,5,1,3,0.34162875488864775,47.27291320470861,5.073010892458861,39.054239791414496,4.923551080584568
1,5,5,1,0.07962771344699143,59.254858442939465,5.293761221015657,57.32036699123819,5.214470713602638
1,5,5,3,0.07962771344699143,59.254858442939465,5.293761221015657,55.109806978236946,5.15506803259713
1,8,0.1,1,0.2803788541920038,62.612200390881426,5.491559167060449,61.15180973339313,5.471808046555959
1,8,0.1,3,0.2803788541920038,62.612200390881426,5.491559167060449,58.18252055451525,5.467692732529466
1,8,1,1,0.2939622039036515,68.2536776877447,5.413125867288069,66.36640220674923,5.358038965921706
1,8,1,3,0.2939622039036515,68.2536776877447,5.413125867288069,62.31082572038798,5.317373047353132
1,8,5,1,0.14465481548119713,83.03590050306963,5.6074632258285595,80.71387854936515,5.539108523445858
1,8,5,3,0.14465481548119713,83.03590050306963,5.6074632258285595,77.41140503483608,5.452900593156067
2,3,0.1,1,0.4813960765050453,20.158568914354383,6.193655929950375,18.233180851171397,5.838270284764654
2,3,0.1,3,0.4813960765050453,20.158568914354383,6.193655929950375,16.161368998945825,5.569615635109194
2,3,1,1,0.37874486876271046,19.867526484068083,5.289179692663262,18.98789660118509,5.215945151304284
2,3,1,3,0.37874486876271046,19.867526484068083,5.289179692663262,18.648946368001333,5.61947915503154
2,3,5,1,0,33.845433187668384,4.646253393802457,32.985841657793884,4.57815501372088
2,3,5,3,0,33.845433187668384,4.646253393802457,31.776549853014927,4.520991660590926
2,5,0.1,1,0.34546950223828127,43.240748744932795,5.3004822235186,40.302822753126705,5.316323506334966
2,5,0.1,3,0.34546950223828127,43.240748744932795,5.3004822235186,35.13432759004952,5.198014549116003
2,5,1,1,0.2601601122636834,45.57445693324724,5.052223827344845,42.665752930172204,4.991089638705924
2,5,1,3,0.2601601122636834,45.57445693324724,5.052223827344845,44.220446559563825,5.000734768548796
2,5,5,1,0.05211393260069561,51.34103719972214,5.297157824705882,49.82828882381158,5.246311037297741
2,5,5,3,0.05211393260069561,51.34103719972214,5.297157824705882,47.01869287729936,5.130998769360838
2,8,0.1,1,0.2675125078955178,68.1880812516734,5.698952047486454,67.27750510461823,5.61608566395273
2,8,0.1,3,0.2675125078955178,68.1880812516734,5.698952047486454,65.98102243536324,5.4964828342874075
2,8,1,1,0.24906106568158107,71.72451599698192,5.5050814272933355,70.84437062297644,5.463790448899652
2,8,1,3,0.24906106568158107,71.72451599698192,5.5050814272933355,67.9652198262095,5.376863197725169
2,8,5,1,0.16510298341586327,80.0738800258442,5.4446175926019125,78.31471644488668,5.4122405047793105
2,8,5,3,0.16510298341586327,80.0738800258442,5.4446175926019125,75.13383636152055,5.384695628108169
3,3,0.1,1,0.4620319960322689,19.82404778578828,5.682010771494415,16.087884130210973,6.07630093733836
3,3,0.1,3,0.4620319960322689,19.82404778578828,5.682010771494415,14.48872840740785,7.050712566453399
3,3,1,1,0.2826816057681423,21.599535524350557,5.463521791656801,16.700139701487874,5.709136916296107
3,3,1,3,0.2826816057681423,21.599535524350557,5.463521791656801,14.735650277115852,5.883855391718015
3,3,5,1,0,30.899904439139494,4.623861561828319,29.554248638665438,4.505391895957663
3,3,5,3,0,30.899904439139494,4.623861561828319,28.05465534452711,4.420083806873522
3,5,0.1,1,0.3735891843434445,45.47141930174286,5.296691267778691,42.36262595649078,5.177492285718269
3,5,0.1,3,0.3735891843434445,45.47141930174286,5.296691267778691,36.06304520039038,5.100983807632278
3,5,1,1,0.37639350730006416,44.421742972690474,5.137229875734617,41.65059498573824,5.078685848443692
3,5,1,3,0.37639350730006416,44.421742972690474,5.137229875734617,36.508356388858296,5.003291997446264
3,5,5,1,0.09005911550218092,56.97137213190772,5.260459998373941,54.81721318609412,5.15509431758538
3,5,5,3,0.09005911550218092,56.97137213190772,5.260459998373941,51.99257138291032,5.09357996565415
3,8,0.1,1,0.2494235218176417,66.93442182045881,5.675733684661211,65.89369254613295,5.594425641843313
3,8,0.1,3,0.2494235218176417,66.93442182045881,5.675733684661211,63.83450763619801,5.490816689884776
3,8,1,1,0.23971015230688988,72.2710880431774,5.498748938740834,70.9397926296082,5.45483386669562
3,8,1,3,0.23971015230688988,72.2710880431774,5.498748938740834,67.35283991881732,5.400427556724611
3,8,5,1,0.13357165956283334,81.22765830319868,5.528837333027609,77.86968622802802,5.441368913036504
3,8,5,3,0.13357165956283334,81.22765830319868,5.528837333027609,74.18774578337917,5.376905170663259
4,3,0.1,1,0.5022179064747967,25.50927354018466,5.478374844800423,23.488077153319516,5.38847718573372
4,3,0.1,3,0.5022179064747967,25.50927354018466,5.478374844800423,19.938145263678496,5.537439438278417
4,3,1,1,0.46903861844759537,26.51321466086536,5.691997434502559,24.66749983103008,5.734937767449379
4,3,1,3,0.46903861844759537,26.51321466086536,5.691997434502559,21.145105190646877,5.916892689590741
4,3,5,1,0,34.33175092626421,4.682629838832936,32.7953635990687,4.565147625680384
4,3,5,3,0,34.33175092626421,4.682629838832936,30.818095552365786,4.459073382761293
4,5,0.1,1,0.31684519424473284,42.28956355184707,5.536776521061507,39.98702366797325,5.524995427208014
4,5,0.1,3,0.31684519424473284,42.28956355184707,5.536776521061507,38.50148092686106,5.47346529156056
4,5,1,1,0.3199353530985486,46.15142245320005,5.034386804244234,43.62869564157395,4.971010842611812
4,5,1,3,0.3199353530985486,46.15142245320005,5.034386804244234,40.60125739994005,4.891996003941172
4,5,5,1,0.09507115943096431,50.629700136542425,5.21976920626023,48.38572921170632,5.094570047037019
4,5,5,3,0.09507115943096431,50.629700136542425,5.21976920626023,45.38981526814038,4.968126504601084
4,8,0.1,1,0.24012326227058542,66.28677649826604,5.456583298976274,65.355240335124,5.397906074141365
4,8,0.1,3,0.24012326227058542,66.28677649826604,5.456583298976274,63.57105197605091,5.330522255260437
4,8,1,1,0.2581913928090744,70.89131780237774,5.407644845318944,69.32178924464559,5.380637880554503
4,8,1,3,0.2581913928090744,70.89131780237774,5.407644845318944,66.57161118689967,5.31304891006635
4,8,5,1,0.13125202946284403,83.72840732890495,5.582286145092864,81.93086922558645,5.533296668851157
4,8,5,3,0.13125202946284403,83.72840732890495,5.582286145092864,78.55173265571534,5.475993660965927
5,3,0.1,1,0.5175164656337784,19.37287913589713,5.675096434575676,15.870900160963355,5.966917566153067
5,3,0.1,3,0.5175164656337784,19.37287913589713,5.675096434575676,12.099159831822092,7.1440574275705
5,3,1,1,0.4591479000677031,24.09322193389766,4.91807190035055,19.4567866782545,4.732960342203046
5,3,1,3,0.4591479000677031,24.09322193389766,4.91807190035055,11.860307370596816,5.705604988561785
5,3,5,1,0,27.988095510395105,4.642857838385144,27.02451635709745,4.528821651478333
5,3,5,3,0,27.988095510395105,4.642857838385144,25.154101436074715,4.40889687392434
5,5,0.1,1,0.3805288856223213,45.31880676810644,5.342948231253437,41.2390000870215,5.243405810813609
5,5,0.1,3,0.3805288856223213,45.31880676810644,5.342948231253437,34.409587947492135,5.260454671237574
5,5,1,1,0.3367402085669965,49.52369555524583,5.107938381526399,43.99075998508724,4.9991209104490535
5,5,1,3,0.3367402085669965,49.52369555524583,5.107938381526399,35.214856802412086,4.880920894495089
5,5,5,1,0.05603786163144895,56.67831806677803,5.3241466099795565,54.65561498595136,5.226883124673992
5,5,5,3,0.05603786163144895,56.67831806677803,5.3241466099795565,51.645404144130964,5.131115807668702
5,8,0.1,1,0.3167865997481105,67.68232821838262,5.547662062055584,64.8586205839418,5.467903686820988
5,8,0.1,3,0.3167865997481105,67.68232821838262,5.547662062055584,59.76986316527566,5.404562163643793
5,8,1,1,0.26915074999759736,72.69808951356077,5.446262831189128,70.34712515358343,5.4025125656738435
5,8,1,3,0.26915074999759736,72.69808951356077,5.446262831189128,72.11553354660319,5.4217768892548
5,8,5,1,0.13773879777873405,77.64085068479021,5.663435660270056,75.07061961773113,5.499252578635012
5,8,5,3,0.13773879777873405,77.64085068479021,5.663435660270056,71.90444568486247,5.466727730274219
6,3,0.1,1,0.5007905610664778,19.543878782591378,6.839373353768333,17.12965948237752,6.954365913641674
6,3,0.1,3,0.5007905610664778,19.543878782591378,6.839373353768333,15.097297316355107,7.658419937221588
6,3,1,1,0.4588759692492192,24.573635265167606,4.966849716100303,20.795111974522452,5.106068716464242
6,3,1,3,0.4588759692492192,24.573635265167606,4.966849716100303,18.372846372985144,5.343449856679603
6,3,5,1,0.04147411684137446,33.24732220919754,4.647939052379789,32.43895195330898,4.589676005290359
6,3,5,3,0.04147411684137446,33.24732220919754,4.647939052379789,32.31636514701343,4.784892849360309
6,5,0.1,1,0.3530074622882049,38.37745151141775,5.58809613758121,36.774345451631994,5.46997893347839
6,5,0.1,3,0.3530074622882049,38.37745151141775,5.58809613758121,31.92639892860631,5.418016262756772
6,5,1,1,0.30879415491279716,48.30467333806655,5.078823276263238,44.088276290224044,5.0136077196368145
6,5,1,3,0.30879415491279716,48.30467333806655,5.078823276263238,36.202487142019976,4.902689409630653
6,5,5,1,0.1052999998521616,53.97154684884713,5.296510967741428,49.9801954947131,5.0477796519132445
6,5,5,3,0.1052999998521616,53.97154684884713,5.296510967741428,46.04902715418931,4.887317532300077
6,8,0.1,1,0.2664597540917372,72.87121406160358,5.453083290548302,71.29116037634417,5.4347694313628425
6,8,0.1,3,0.2664597540917372,72.87121406160358,5.453083290548302,68.41695462273876,5.376223437938407
6,8,1,1,0.250369131792297,73.85477802337142,5.439474862198629,72.1254516987867,5.419935495167629
6,8,1,3,0.250369131792297,73.85477802337142,5.439474862198629,74.86436012123171,5.516453055622497
6,8,5,1,0.1274917469290691,88.01801916325107,5.524534418226817,86.36667558696128,5.492202141621594
6,8,5,3,0.1274917469290691,88.01801916325107,5.524534418226817,83.37313780827729,5.458299930813839
7,3,0.1,1,0.523832963579782,18.42607980120509,6.421199149266902,15.828821287964756,6.670325587124348
7,3,0.1,3,0.523832963579782,18.42607980120509,6.421199149266902,13.131707519955002,6.887384455033205
7,3,1,1,0.4493653124813531,25.01386910554415,5.143092768187372,21.088604589567254,5.105398677527371
7,3,1,3,0.4493653124813531,25.01386910554415,5.143092768187372,18.56589245802473,5.046047004400386
7,3,5,1,0,31.53687338289637,4.596177360993721,30.81243920010266,4.571252443043513
7,3,5,3,0,31.53687338289637,4.596177360993721,29.706651022533606,4.592370028099304
7,5,0.1,1,0.41483082805564164,47.89899032143617,5.127420439568345,44.5823592255414,5.064231933408614
7,5,0.1,3,0.41483082805564164,47.89899032143617,5.127420439568345,37.74445306442849,4.904445117592906
7,5,1,1,0.3574772857424686,54.61703106009207,5.155052440538771,50.513360961251756,5.06919829512474
7,5,1,3,0.3574772857424686,54.61703106009207,5.155052440538771,42.72971805725384,4.9407683249411445
7,5,5,1,0.0747375741468043,58.865680606557476,5.360863929658812,57.276512438644886,5.319823461814279
7,5,5,3,0.0747375741468043,58.865680606557476,5.360863929658812,53.35057309878188,5.0802306026684665
7,8,0.1,1,0.23934780153459076,65.40900007453918,5.4945017333566275,64.60717024144327,5.445774343591
7,8,0.1,3,0.23934780153459076,65.40900007453918,5.4945017333566275,62.478658667182586,5.3678989333605
7,8,1,1,0.2521835538317215,74.01732325108405,5.5210372546743205,72.89097532249761,5.485801451703955
7,8,1,3,0.2521835538317215,74.01732325108405,5.5210372546743205,69.835132097451,5.427111002951955
7,8,5,1,0.1252657177145505,82.58652770584484,5.548403844522116,80.61482328338873,5.511278074473642
7,8,5,3,0.1252657177145505,82.58652770584484,5.548403844522116,76.72533723259887,5.403784306276036
8,3,0.1,1,0.4465530524026918,22.052184230917202,5.534072530641772,17.575326820663893,6.315245507067797
8,3,0.1,3,0.4465530524026918,22.052184230917202,5.534072530641772,15.892901016521817,5.904080107652589
8,3,1,1,0.4279563316353087,25.58010779206985,4.899051099125198,19.69543739424565,4.924159227022594
8,3,1,3,0.4279563316353087,25.58010779206985,4.899051099125198,17.525843375290727,4.7748000160315005
8,3,5,1,0,29.155424333843513,4.569079370781875,27.718152607850566,4.43633322259973
8,3,5,3,0,29.155424333843513,4.569079370781875,26.086715406195363,4.364357810484455
8,5,0.1,1,0.3536514882447525,42.9778015725239,5.319355876237734,40.69180014193639,5.185001729017149
8,5,0.1,3,0.3536514882447525,42.9778015725239,5.319355876237734,37.09753661348708,5.162415467920415
8,5,1,1,0.2624442722370936,46.109618881408174,5.12907898436327,44.450219391547705,5.088883985751627
8,5,1,3,0.2624442722370936,46.109618881408174,5.12907898436327,40.25917735068443,5.0231685906186785
8,5,5,1,0.05849726229040555,61.17276789248474,5.328289895580299,59.67499119699987,5.252174529948418
8,5,5,3,0.05849726229040555,61.17276789248474,5.328289895580299,56.41849665621412,5.116175889006175
8,8,0.1,1,0.2864544853644181,66.0076122641601,5.73180003904838,65.10736954562321,5.664045484285376
8,8,0.1,3,0.2864544853644181,66.0076122641601,5.73180003904838,65.87100228115608,5.662445451351165
8,8,1,1,0.23229499179801433,70.62918383980492,5.604306632029137,69.59944983168826,5.5470222024031814
8,8,1,3,0.23229499179801433,70.62918383980492,5.604306632029137,68.26537361487125,5.45836743223627
8,8,5,1,0.2723701572662027,67.52823715285611,5.811457526450104,67.25146693589528,5.738553457193614
8,8,5,3,0.2723701572662027,67.52823715285611,5.811457526450104,66.6598695815099,5.612292681124311
9,3,0.1,1,0.43911324533743556,27.399193981124437,5.908183306455595,22.794461779838397,6.010854941518925
9,3,0.1,3,0.43911324533743556,27.399193981124437,5.908183306455595,18.125261625679446,6.099341192747093
9,3,1,1,0.42890499755090783,29.457918093861778,5.0211174655183495,23.70783236560554,4.754474398568033
9,3,1,3,0.42890499755090783,29.457918093861778,5.0211174655183495,18.928065537715412,4.603069928774984
9,3,5,1,0.09511167306431272,29.73184106634902,4.577736908009768,27.57353335266688,4.433350825723763
9,3,5,3,0.09511167306431272,29.73184106634902,4.577736908009768,26.302262502251246,4.359212661833962
9,5,0.1,1,0.41814706364495413,42.32771819603304,5.585827469100171,38.87772978849911,5.3599072321921675
9,5,0.1,3,0.41814706364495413,42.32771819603304,5.585827469100171,34.6180194396071,5.291852656515024
9,5,1,1,0.31888141518595925,45.67686275725505,5.175446092151764,42.318250696424066,5.07964108178564
9,5,1,3,0.31888141518595925,45.67686275725505,5.175446092151764,37.37145607468033,4.979457816265354
9,5,5,1,0.08212425636345114,58.64697551775031,5.280587266993015,57.34707945598122,5.265623142955204
9,5,5,3,0.08212425636345114,58.64697551775031,5.280587266993015,54.14757462220804,5.130596223919143
9,8,0.1,1,0.2919920337218672,66.76424276552471,5.4160251344716555,64.546227652239,5.4362038366403045
9,8,0.1,3,0.2919920337218672,66.76424276552471,5.4160251344716555,61.028729749938115,5.334530843424389
9,8,1,1,0.2692647287790982,69.60337259639853,5.388476598915098,68.26297483824924,5.348300822587933
9,8,1,3,0.2692647287790982,69.60337259639853,5.388476598915098,65.44594308227823,5.287440623604779
9,8,5,1,0.1343117758231156,81.70449630671712,5.764182466095723,80.19500556945904,5.7488653450978395
9,8,5,3,0.1343117758231156,81.70449630671712,5.764182466095723,77.09914290012478,5.674156436660257
10,3,0.1,1,0.34525472360018555,19.71678152908206,6.06497641521751,17.378331173214896,6.730546235455698
